date, value
1/11/1982,10.9597
1/12/1982,11.1266
1/1/1983,11.6989
1/2/1983,11.9211
1/3/1983,12.3156
1/4/1983,13.0604
1/5/1983,12.8983
1/6/1983,13.3153
1/7/1983,12.2226
1/8/1983,12.3609
1/9/1983,12.4865
1/10/1983,11.6572
1/11/1983,11.8603
1/12/1983,11.7555
1/1/1984,10.7084
1/2/1984,10.2923
1/3/1984,10.4312
1/4/1984,9.8796
1/5/1984,9.2932
1/6/1984,9.4556
1/7/1984,9.0978
1/8/1984,10.0652
1/9/1984,10.0302
1/10/1984,9.9814
1/11/1984,9.8305
1/12/1984,10.0505
1/1/1985,10.9597
1/2/1985,11.0543
1/3/1985,11.0226
1/4/1985,11.5202
1/5/1985,12.1429
1/6/1985,12.2902
1/7/1985,12.5358
1/8/1985,12.3854
1/9/1985,11.9554
1/10/1985,12.9925
1/11/1985,13.8378
1/12/1985,14.4613
1/1/1986,14.5854
1/2/1986,15.6281
1/3/1986,16.4532
1/4/1986,16.0109
1/5/1986,16.8151
1/6/1986,17.0523
1/7/1986,15.9003
1/8/1986,17.0323
1/9/1986,15.5771
1/10/1986,16.8494
1/11/1986,17.2113
1/12/1986,16.7244
1/1/1987,18.151
1/2/1987,18.8212
1/3/1987,19.3179
1/4/1987,19.9972
1/5/1987,20.1179
1/6/1987,21.0818
1/7/1987,20.0921
1/8/1987,20.7945
1/9/1987,20.2919
1/10/1987,14.388
1/11/1987,13.16
1/12/1987,14.1189
1/1/1988,13.8284
1/2/1988,14.4067
1/3/1988,13.9263
1/4/1988,12.0595
1/5/1988,12.0978
1/6/1988,12.6211
1/7/1988,11.9674
1/8/1988,11.5055
1/9/1988,11.9626
1/10/1988,11.7461
1/11/1988,11.5242
1/12/1988,11.6935
1/1/1989,11.9179
1/2/1989,11.5729
1/3/1989,11.8137
1/4/1989,12.2776
1/5/1989,12.709
1/6/1989,12.6082
1/7/1989,14.6087
1/8/1989,14.8354
1/9/1989,14.7383
1/10/1989,14.8824
1/11/1989,15.1286
1/12/1989,15.4526
1/1/1990,15.186
1/2/1990,15.3156
1/3/1990,15.6871
1/4/1990,15.5597
1/5/1990,16.9911
1/6/1990,16.8401
1/7/1990,16.3822
1/8/1990,14.8372
1/9/1990,14.0777
1/10/1990,14.2455
1/11/1990,15.0993
1/12/1990,15.4742
1/1/1991,16.4245
1/2/1991,17.5296
1/3/1991,17.9188
1/4/1991,19.3375
1/5/1991,20.084
1/6/1991,19.1221
1/7/1991,21.7626
1/8/1991,22.1902
1/9/1991,21.7654
1/10/1991,24.5742
1/11/1991,23.4953
1/12/1991,26.1171
1/1/1992,25.2489
1/2/1992,25.491
1/3/1992,24.9345
1/4/1992,24.3372
1/5/1992,24.3607
1/6/1992,23.9378
1/7/1992,23.515
1/8/1992,22.9507
1/9/1992,23.1596
1/10/1992,21.9319
1/11/1992,22.5956
1/12/1992,22.824
1/1/1993,22.1159
1/2/1993,22.3478
1/3/1993,22.7656
1/4/1993,22.7724
1/5/1993,23.2897
1/6/1993,23.3073
1/7/1993,21.9564
1/8/1993,22.7124
1/9/1993,22.4855
1/10/1993,21.3719
1/11/1993,21.0959
1/12/1993,21.3088
1/1/1994,21.207
1/2/1994,20.5698
1/3/1994,19.6288
1/4/1994,17.8933
1/5/1994,18.1151
1/6/1994,17.6298
1/7/1994,16.7677
1/8/1994,17.3981
1/9/1994,16.9305
1/10/1994,15.4363
1/11/1994,14.8265
1/12/1994,15.0088
1/1/1995,14.4522
1/2/1995,14.9736
1/3/1995,15.3828
1/4/1995,14.9495
1/5/1995,15.4923
1/6/1995,15.822
1/7/1995,15.9767
1/8/1995,15.9716
1/9/1995,16.612
1/10/1995,17.1231
1/11/1995,17.826
1/12/1995,18.1369
1/1/1996,18.6845
1/2/1996,18.814
1/3/1996,18.963
1/4/1996,18.7388
1/5/1996,19.167
1/6/1996,19.2103
1/7/1996,17.7764
1/8/1996,18.1108
1/9/1996,19.0925
1/10/1996,18.2099
1/11/1996,19.5461
1/12/1996,19.1257
1/1/1997,19.5368
1/2/1997,19.6526
1/3/1997,18.8151
1/4/1997,19.7618
1/5/1997,20.9194
1/6/1997,21.8284
1/7/1997,23.482
1/8/1997,22.1326
1/9/1997,23.3091
1/10/1997,23.0267
1/11/1997,24.0534
1/12/1997,24.4318
